teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
PE,WOA,20,6,0,0,6,20,0,0,60300,40700,54,15,11,3,14151
TL,FOX,13,17,0,2,17,13,2,4,101549,104704,31,50,6,8,13646
M3,OMG,6,21,0,1,21,6,0,2,40483,59031,15,51,2,11,13520
IG,Wayi,24,6,0,0,6,24,0,0,48600,32400,51,6,8,1,14198
WE,WOA,24,2,0,0,2,24,0,0,39800,21000,43,3,9,0,14196
IG,OMG,37,26,0,0,26,37,0,0,91000,86600,88,68,9,7,14195
Wayi,PE,12,22,0,0,22,12,0,0,37300,54900,31,41,2,11,14194
WE,LM,17,15,0,0,15,17,0,0,77900,73700,39,44,8,7,14192
RYL,WOA,21,20,0,0,20,21,0,0,57400,46100,46,43,9,1,14193
OMG,PE,11,17,0,0,17,11,0,0,63800,76100,28,47,4,11,14191
RYL,LM,21,7,0,0,7,21,0,0,56300,41900,52,16,9,3,14188
DFM,BKT,21,4,1,0,4,21,1,1,55488,40100,44,9,9,1,12319
Wayi,WOA,17,21,0,0,21,17,0,0,42800,51200,25,55,3,8,14189
WE,IG,13,5,0,0,5,13,0,0,63200,42200,29,12,10,1,14190
RYL,Wayi,21,12,0,0,12,21,0,0,51300,33800,42,25,11,1,14183
Wayi,LM,22,18,0,0,18,22,0,0,69100,70500,41,39,6,8,14184
JAG,IMiracle,10,5,2,0,5,10,2,4,78694,64675,24,14,10,3,11052
IG,RYL,24,23,0,0,23,25,0,0,68200,63600,52,62,11,5,14187
WE,PE,22,5,0,0,5,22,0,0,53600,39900,48,10,8,3,14186
OMG,WOA,19,2,0,0,2,19,0,0,51500,30300,26,3,9,0,14185
WE,OMG,17,20,0,0,20,18,0,0,68300,73100,48,56,3,10,14182
H2K,S04,19,2,0,0,2,19,2,1,66025,52034,61,3,9,2,13767
WE,WOA,5,18,0,0,18,5,0,0,46400,64200,7,36,3,7,14168
KDM,KT,6,10,1,0,10,6,1,2,68503,69975,11,24,5,8,13888
VIT,SPY,13,0,1,0,0,13,2,0,53426,38528,42,0,9,0,13768
DP,DFM,18,5,1,0,5,18,3,1,64401,48468,58,12,10,2,12315
IG,LM,21,8,0,0,8,22,0,0,69900,43100,43,11,10,2,14154
DFM,CHF,19,6,2,0,6,19,3,2,68831,56155,59,18,10,3,12316
JAG,SKT,18,5,2,0,5,18,5,0,80481,69654,33,12,11,3,13871
BKT,DP,13,6,0,0,6,13,3,0,61073,52300,27,13,8,3,12317
OG,FNC,15,6,1,0,6,15,3,1,71193,55835,39,20,10,1,13769
WE,IG,17,3,0,0,3,17,0,0,52800,42100,47,4,9,3,14161
WE,LM,22,12,0,0,16,22,0,0,84600,82500,45,24,7,11,14163
GIA,ROC,15,5,1,0,6,15,0,2,54286,43654,43,9,8,3,13770
TSM,CLG,13,22,0,2,22,13,0,5,77212,88636,34,62,5,10,13595
G2,UOL,14,10,1,0,10,14,3,1,73405,67748,36,21,11,6,13771
C9,IMT,7,17,0,1,17,7,1,1,38845,55844,16,47,2,10,13596
REN,TL,18,12,4,0,12,18,4,3,114684,99406,51,35,10,6,13598
