teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
CLG,DIG,4,15,1,1,15,4,3,3,67260,74176,6,32,7,11,356
GV,CST,15,3,2,0,3,15,3,0,61317,42431,38,7,11,2,412
DIG,C9,11,2,1,0,2,11,3,0,51873,42097,24,5,9,5,247
C9,WFX,16,2,1,0,2,16,4,0,57982,37099,46,5,11,1,413
P1,TSM,21,11,0,0,11,21,3,1,71221,64084,65,26,8,4,414
JAG,ROX,13,19,0,1,19,13,2,4,76362,86664,30,41,2,9,901
Team MRN,CRS,11,23,0,0,23,11,0,0,51076,66610,34,63,0,0,101
XDG,CST,16,9,0,0,9,16,0,0,61780,46086,43,26,0,0,102
CLG,DIG,15,17,2,0,17,15,0,4,57616,62094,39,41,8,8,356
CLG,DIG,5,16,0,1,16,5,1,2,46254,54976,8,33,6,7,356
CLG,XDG,14,7,0,0,7,14,0,0,59932,54031,46,17,0,0,104
Team MRN,DIG,9,21,0,0,21,9,0,0,43707,61685,18,50,0,0,73
Team MRN,CLG,20,14,0,0,14,20,0,0,69704,60617,56,38,0,0,105
CRS,COW,15,23,0,0,23,15,0,0,67787,76689,35,62,0,0,106
DIG,XDG,11,17,0,0,17,11,0,0,56696,62672,29,48,0,0,108
CST,CLG,15,9,0,0,9,15,0,0,51227,50737,28,24,0,0,109
COW,Team MRN,5,25,0,0,25,5,0,0,37828,57824,6,49,0,0,111
XDG,CRS,21,17,0,0,17,21,0,0,68233,50001,46,28,0,0,112
IMiracle,SSG,13,4,1,0,4,13,5,0,66690,50331,41,11,10,2,902
DIG,CST,6,11,0,0,11,6,0,0,43580,54177,13,30,0,0,114
MYM,ROC,8,8,0,1,8,8,1,3,37802,46044,20,23,2,7,693
DIG,CST,14,20,0,0,20,14,0,0,64271,78584,41,55,0,0,114
ALL,SK,21,13,2,0,13,21,2,6,92714,85440,61,36,11,7,694
T8,DIG,19,5,1,0,5,19,2,2,69983,51583,37,9,10,3,416
TSM,XDG,11,21,0,0,21,11,0,0,51874,67218,28,36,0,0,115
CST,TSM,5,7,0,0,7,5,0,0,45254,57633,17,15,0,0,75
CRS,CST,8,14,0,0,14,8,0,0,40825,57697,22,32,0,0,116
ALL,SK,4,14,0,1,14,4,1,2,54327,69661,8,36,3,9,694
LMQ,DIG,3,17,0,1,17,3,0,4,38175,59375,4,42,1,11,256
IMiracle,SSG,6,10,1,1,10,6,1,5,65691,70989,19,37,4,9,902
ALL,SK,15,17,0,2,17,15,2,3,69606,69823,44,43,10,8,694
TSM,CRS,20,8,0,0,8,20,0,0,56679,41546,53,18,0,0,81
IMiracle,SSG,17,23,1,1,23,17,3,4,75884,81102,38,71,5,8,902
CRS,TSM,6,17,0,0,17,6,0,0,27737,43091,19,54,0,0,92
Team MRN,TSM,22,25,0,0,25,22,0,0,63282,72508,52,68,0,0,94
ALL,SK,22,14,1,0,14,22,2,3,71884,62604,63,37,10,4,694
CLG,TSM,12,19,0,0,19,12,0,0,49508,62679,31,55,0,0,96
CJE,KT,20,10,0,0,10,20,4,1,64342,53615,50,20,9,3,903
COW,TSM,7,17,0,0,17,7,0,0,34264,47799,15,38,0,0,100
FNC,ROC,5,16,0,2,16,5,0,5,56401,74061,12,38,5,8,695
CRS,CST,13,20,0,0,20,13,0,0,58944,69455,28,49,0,0,116
DIG,CRS,30,13,0,0,13,30,0,0,73636,62979,91,41,0,0,103
TSM,CST,0,12,0,0,12,0,0,0,35126,44828,0,33,0,0,117
FNC,ROC,17,7,1,0,7,17,3,1,65856,52317,41,14,10,4,695
TSM,CST,13,16,0,0,16,13,0,0,48962,53831,38,47,0,0,117
TSM,CST,15,4,0,0,4,15,0,0,64600,47563,31,8,0,0,107
CRS,XDG,21,9,0,0,9,21,0,0,75789,59876,65,28,0,0,118
P1,C9,19,3,1,1,3,19,2,3,73017,62463,42,6,8,7,420
TL,T8,8,15,1,1,15,8,1,5,68841,75354,25,40,3,8,421
CRS,XDG,25,29,0,0,29,25,0,0,77088,83237,67,88,0,0,118
CRS,XDG,10,17,0,0,17,10,0,0,46989,59678,28,47,0,0,118
C9,DIG,17,11,1,0,11,17,4,1,82087,68052,43,22,11,4,422
TL,P1,3,21,0,1,21,3,0,3,38626,59542,12,59,1,11,424
C9,TSM,17,9,3,0,9,17,6,0,89108,65847,54,20,11,4,119
DIG,CST,13,3,0,0,3,13,0,0,51744,34467,27,6,0,0,114
TSM,XDG,16,8,0,0,8,16,0,0,52290,40410,31,13,0,0,115
