scheduleid,name_1,name_2,name_1_win,name_2_win,name_1_country,name_2_country
28140,DP,GAL,2,0,TR,TR
28083,SUP,DP,1,1,TR,TR
12324,DP,CHF,1,0,TR,AU
12322,DP,BKT,0,1,TR,TH
12320,DFM,DP,0,1,JP,TR
12318,CHF,DP,1,0,AU,TR
12317,BKT,DP,1,0,TH,TR
12315,DP,DFM,1,0,TR,JP
1375,AHQ,DP,1,0,TW,TR
1372,SSW,DP,1,0,KR,TR
1370,DP,SSW,0,1,TR,KR
1367,DP,AHQ,0,1,TR,TW
23647,AHQ,FB,2,0,TW,TW
23646,AHQ,JTM,1,2,TW,TW
23638,AHQ,WS,2,0,TW,TW
23635,XG,AHQ,0,2,TW,TW
23633,HKE,AHQ,0,2,HK,TW
23629,M17,AHQ,0,2,HK,TW
23622,FW,AHQ,2,0,TW,TW
23619,FB,AHQ,0,2,TW,TW
23618,JTM,AHQ,0,2,TW,TW
23609,Spider,AHQ,0,2,TW,TW
23607,AHQ,XG,2,0,TW,TW
23606,AHQ,HKE,2,0,TW,HK
23601,AHQ,M17,2,0,TW,HK
23558,AHQ,FW,1,2,TW,TW
20594,ITZ,AHQ,0,1,BR,TW
20589,AHQ,ITZ,1,0,TW,BR
20361,AHQ,M17,3,0,TW,HK
20359,AHQ,HKE,3,0,TW,HK
20011,FW,AHQ,3,2,TW,TW
20010,AHQ,HKE,3,0,TW,HK
17798,AHQ,FW,1,1,TW,TW
17795,JTM,AHQ,1,1,TW,TW
17793,AHQ,M17,2,0,TW,HK
17786,MSE,AHQ,1,1,TW,TW
17785,AHQ,XG,2,0,TW,TW
17781,AHQ,FB,2,0,TW,TW
17773,HKE,AHQ,0,2,HK,TW
17769,XG,AHQ,0,2,TW,TW
17768,AHQ,HKE,2,0,TW,HK
17765,AHQ,JTM,0,2,TW,TW
17761,M17,AHQ,0,2,HK,TW
17756,FW,AHQ,2,0,TW,TW
17753,AHQ,MSE,2,0,TW,TW
17750,FB,AHQ,0,2,TW,TW
15834,AHQ,FW,0,3,TW,TW
13982,AHQ,FW,1,1,TW,TW
13978,AHQ,M17,1,1,TW,HK
13973,MSE,AHQ,0,2,TW,TW
13968,AHQ,CGE,2,0,TW,TW
13961,AHQ,XG,2,0,TW,TW
13958,HKE,AHQ,1,1,HK,TW
13952,XG,AHQ,0,2,TW,TW
13951,AHQ,MSE,2,0,TW,TW
13946,CGE,AHQ,0,2,TW,TW
13937,AHQ,HKE,2,0,TW,HK
13933,M17,AHQ,0,2,HK,TW
13930,FW,AHQ,0,2,TW,TW
12649,SKT,AHQ,3,0,KR,TW
12456,FNC,AHQ,1,0,EU,TW
12414,IG,AHQ,0,1,CN,TW
12454,IG,AHQ,1,0,CN,TW
12431,FNC,AHQ,0,1,EU,TW
11933,HKE,AHQ,0,3,TW,TW
4836,AHQ,FW,2,0,TW,TW
4833,AHQ,LGS,2,0,TW,TW
4825,AHQ,MSE,2,0,TW,TW
4824,AS,AHQ,0,2,TW,TW
4820,HKE,AHQ,1,1,HK,TW
4816,AHQ,M17,1,1,TW,HK
4808,FW,AHQ,0,2,TW,TW
4801,MSE,AHQ,0,2,TW,TW
4597,LGS,AHQ,0,2,TW,TW
4594,AHQ,AS,2,0,TW,TW
4591,AHQ,HKE,2,0,TW,HK
4587,M17,AHQ,0,2,HK,TW
1816,AHQ,SKT,0,1,TW,KR
1811,TSM,AHQ,0,1,US,TW
1808,AHQ,BJK,1,0,TW,TR
1806,FNC,AHQ,0,1,EU,TW
1150,AHQ,FW,3,1,TW,TW
1148,AHQ,HKE,3,0,TW,HK
1140,AHQ,FW,0,1,TW,TW
1145,LGS,AHQ,0,1,TW,TW
1144,AHQ,MSE,1,0,TW,TW
1123,AHQ,HKE,0,1,TW,HK
1132,AHQ,NGU,1,0,TW,TW
1108,DOR,AHQ,0,1,TW,TW
