teamname1,teamname2,kill1,kill2,baronkill1,baronkill2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,team_1_win,team_2_win,name_1_country,name_2_country,scheduleid,game_date
NIP-2,G2d,11,4,0,0,4,11,0,0,79904,66179,14,6,0,0,2,1,EU,,1550,2014-03-13
ROX,KDM,4,17,0,1,17,4,0,4,53724,66146,8,48,2,8,1,2,KR,KR,2371,2015-05-23
WE,IG,14,15,0,0,15,14,0,0,59612,65200,26,36,0,0,1,1,CN,CN,1750,2014-07-04
KDM,KT,6,17,0,0,17,6,0,0,56723,72643,14,35,0,0,3,2,KR,KR,1630,2014-04-25
FW,AHQ,5,13,0,1,13,5,3,2,57914,72137,10,36,3,10,0,2,TW,TW,4808,2015-06-12
NIP,KMT,4,9,0,0,9,4,0,0,72163,87284,10,17,0,0,0,3,EU,EU,2181,2013-12-16
RYL,EDG,4,13,0,1,13,4,1,4,54457,71340,9,35,4,8,0,2,CN,CN,1723,2014-04-20
OMG,RYL,14,7,0,0,7,14,3,0,43659,31650,20,10,0,8,2,0,CN,CN,1007,2015-03-08
DNE,CSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,EU,EU,1551,2014-03-21
EDG,RYL,14,9,0,0,9,14,0,0,78221,62703,40,16,0,0,1,1,CN,CN,1752,2014-07-05
LGS,TPA,22,11,1,0,11,22,3,2,72373,61306,68,19,9,4,1,1,TW,TW,4592,2015-05-28
RG,NIP-2,4,12,0,0,12,4,0,0,42639,62129,7,18,0,0,0,2,GB,EU,1552,2014-03-22
Velocity Esports,The Salad Bar,18,36,0,0,36,18,0,0,68124,79491,47,104,0,0,2,1,US,US,1823,2013-05-11
KTA,SKS,14,2,0,0,2,14,0,0,61000,43000,46,6,0,0,3,2,KR,KR,1663,2014-07-30
RYL,Gamtee,29,22,0,0,22,29,0,0,105803,94656,79,51,0,0,2,0,CN,CN,1008,2015-03-13
WE,M3,12,20,0,0,20,12,0,0,55707,71716,21,38,0,0,0,2,CN,CN,939,2015-01-23
EDG,OMG,10,0,0,0,0,10,2,0,0,0,24,0,3,2,3,0,CN,CN,1794,2014-08-24
WE,RYL,6,16,0,0,16,7,0,0,63036,80771,11,37,0,0,1,1,CN,CN,1772,2014-07-27
IG,EDG,9,14,0,1,14,9,4,1,60257,68451,19,38,9,5,0,2,CN,CN,1673,2014-02-22
WIN,Anarchy,17,26,0,1,26,17,3,1,59970,71260,45,60,3,10,1,2,KR,,1669,2015-05-15
WE,EP,18,3,1,0,3,18,3,0,55380,37207,32,2,5,1,2,0,CN,,1688,2014-03-09
PRO,COG,20,5,0,0,5,20,0,0,56132,39274,50,10,0,0,2,1,US,US,1501,2014-07-21
LGD,SS,27,6,0,0,6,27,0,0,75326,53225,56,12,0,0,1,1,CN,CN,953,2015-01-31
IG,EP,18,19,1,1,19,18,0,6,79856,85096,33,40,8,8,1,1,CN,,1707,2014-04-04
DNE,NIP-2,6,15,0,0,15,6,0,0,59324,76798,7,24,0,0,0,2,EU,EU,1553,2014-03-29
LGD,Gamtee,20,10,0,0,10,20,0,0,71654,58251,49,20,0,0,1,1,CN,CN,985,2015-02-27
Positive Energy,OMG,9,21,0,2,21,9,2,2,45340,61325,11,40,5,10,0,2,CN,CN,1674,2014-02-22
TPA,M17,16,5,0,0,5,16,3,1,51184,45054,39,10,9,4,1,1,TW,HK,4807,2015-06-12
SKT,IMiracle,13,4,0,0,4,13,0,0,0,0,30,8,0,0,2,0,KR,KR,1636,2014-06-21
RYL,WEA,24,6,0,0,6,24,0,0,55979,38372,48,7,0,0,1,1,CN,CN,1773,2014-08-01
WE,IG,36,26,3,1,27,36,5,2,114121,97887,110,68,9,6,1,1,CN,CN,1724,2014-04-20
EP,LGD,21,17,0,1,17,21,1,3,64385,62524,53,30,7,3,2,0,,CN,1675,2014-02-23
SKS,SSW,3,17,0,0,21,3,0,0,43000,52000,7,35,0,0,0,3,KR,KR,1666,2014-08-06
IMiracle,KDM,5,15,0,2,15,5,1,3,52669,70011,10,33,1,11,0,2,KR,KR,884,2015-01-31
LGD,Young Glory,19,18,0,0,18,19,0,0,72267,73223,48,34,0,0,1,1,CN,CN,1753,2014-07-06
G2d,NIP-2,6,20,0,0,20,7,0,0,52674,72110,8,42,0,0,0,2,,EU,1598,2014-07-26
KNG,EP,28,7,0,0,8,28,0,0,72249,53136,70,24,0,0,2,0,CN,,940,2015-01-24
WE,RYL,11,3,1,0,3,11,3,0,56366,38095,20,8,9,0,2,0,CN,CN,1676,2014-02-23
WE,VG,9,22,0,0,22,9,0,0,58835,72050,29,54,0,0,1,1,CN,CN,954,2015-01-31
OMG,RYL,20,5,2,0,5,20,3,1,67555,50351,36,11,11,1,2,0,CN,CN,1708,2014-04-04
CJB,JAG,16,19,0,0,20,14,0,0,0,0,39,30,0,0,1,1,KR,KR,1658,2014-07-12
KDM,NBS,15,7,0,0,7,17,0,0,0,0,39,11,0,0,1,1,KR,KR,1643,2014-06-27
OMG,LGD,18,29,0,0,29,18,0,0,83639,93172,51,69,0,0,0,2,CN,CN,1050,2015-04-11
CST,T8,24,11,0,0,11,24,0,0,68433,59059,68,28,0,0,2,0,US,US,1502,2014-07-27
CLG,Azure Cats,16,2,0,0,2,14,0,0,52878,32793,47,3,0,0,3,0,US,US,1824,2013-05-13
MS,EUO,12,9,0,0,9,12,0,0,65260,58015,34,27,0,0,2,0,EU,EU,1526,2014-01-31
TPA,FW,16,15,0,2,15,16,3,2,60452,63276,39,49,4,7,0,2,TW,TW,4586,2015-05-21
ROX,JAG,12,22,0,2,22,12,1,6,75525,92691,27,54,3,9,2,1,KR,KR,874,2015-01-17
LGS,HKE,6,20,0,1,20,6,2,2,45764,63462,15,48,3,9,0,2,TW,HK,4806,2015-06-11
CSG,RG,6,22,0,0,22,6,0,0,56008,66334,9,42,0,0,0,2,EU,GB,1554,2014-03-28
KDM,KT,2,14,0,0,14,3,0,0,0,0,2,41,0,0,1,1,KR,KR,1644,2014-07-02
M3,IG,15,19,0,0,19,15,0,0,70398,81771,39,54,0,0,1,1,CN,CN,973,2015-02-13
OMG,WEA,23,11,0,0,11,23,0,0,62742,44553,60,27,0,0,2,0,CN,CN,1754,2014-07-06
SSB,SKT,18,15,0,0,15,18,0,0,0,0,50,32,0,0,2,0,KR,KR,1637,2014-06-27
IG,VG,7,17,0,0,17,7,0,0,42311,55409,16,41,0,0,1,1,CN,CN,1009,2015-03-13
OMG,LGD,28,11,0,0,11,28,0,0,61267,46311,55,27,0,0,2,0,CN,CN,1774,2014-08-01
IMiracle,IM1,22,14,0,0,14,22,0,0,0,0,46,25,0,0,2,0,KR,KR,1638,2014-07-02
KT,JAF,21,5,0,0,10,16,0,0,81000,44000,62,16,0,0,1,1,KR,KR,1645,2014-07-05
H2K,PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,EU,EU,1527,2014-02-01
EDG,LGD,24,19,0,0,19,24,0,0,76503,75438,55,41,0,0,2,0,CN,CN,1010,2015-03-13
IG,LGD,18,14,0,0,14,18,0,0,64754,50356,53,32,0,0,1,1,CN,CN,1775,2014-08-02
Positive Energy,LGD,7,21,0,0,21,7,0,2,28964,39967,13,51,2,5,1,1,CN,CN,1725,2014-04-25
ALL,Team ALTERNATE,12,22,0,0,22,12,0,0,65820,77565,34,53,0,0,2,1,EU,PL,2174,2013-08-23
EDG,OMG,17,23,0,0,23,17,0,0,69144,83396,29,59,0,0,1,1,CN,CN,987,2015-02-27
VG,LGD,9,22,0,0,22,9,0,0,60517,77872,17,46,0,0,0,2,CN,CN,974,2015-02-13
KNG,EP,17,13,0,0,13,17,0,0,63228,53532,47,32,0,0,2,0,CN,,1011,2015-03-13
SSB,IMiracle,7,16,0,0,16,7,0,0,0,0,16,46,0,0,1,1,KR,KR,1639,2014-07-05
OMG,IG,16,18,1,0,18,16,4,2,72441,64423,37,46,9,7,1,1,CN,CN,1726,2014-04-25
AS,HKE,3,20,0,2,20,3,0,4,48100,70053,8,60,1,10,1,1,TW,HK,4585,2015-05-20
IG,RYL,14,13,0,0,13,14,0,0,63598,69040,38,30,0,0,1,1,CN,CN,1755,2014-07-11
EDG,WEA,20,12,0,0,12,20,0,0,76083,57201,49,22,0,0,2,0,CN,CN,1776,2014-08-02
VG,Gamtee,21,10,0,0,10,21,0,0,75553,62080,62,20,0,0,1,1,CN,CN,941,2015-01-24
RYL,EP,6,15,0,0,15,6,0,0,39474,51618,10,41,0,0,0,2,CN,,988,2015-02-28
SKT,SKS,16,1,0,0,1,16,0,0,58533,37525,40,2,0,0,1,1,KR,KR,1601,2014-03-12
EDG,EP,24,8,0,0,8,24,0,0,66235,49149,74,20,0,0,2,0,CN,,1051,2015-04-11
SKT,IM1,22,6,0,0,6,22,0,0,0,0,51,13,0,0,1,1,KR,KR,1640,2014-07-11
OMG,KNG,19,7,0,0,7,19,0,0,49077,30635,39,12,0,0,2,0,CN,CN,975,2015-02-13
WE,OMG,11,12,0,0,12,11,0,0,53110,64059,36,27,0,0,0,2,CN,CN,942,2015-01-24
SKP,NIP-2,23,11,0,0,11,23,0,0,66915,47541,60,23,0,0,2,1,EU,EU,1599,2014-07-31
COW,C9,1,13,0,0,13,1,0,0,26655,44137,2,26,0,0,0,3,US,US,1825,2013-05-12
WE,LGD,27,19,0,0,19,27,0,0,69409,55388,70,48,0,0,2,0,CN,CN,1756,2014-07-11
SKT,SSG,17,10,0,1,10,17,2,2,56567,48915,46,23,8,4,2,0,KR,KR,885,2015-02-04
SSG,SBE,9,5,2,0,5,10,2,2,53099,45263,35,10,8,2,2,0,KR,KR,1670,2015-05-16
AHQ,HKE,31,9,1,0,9,31,3,0,63470,42339,78,25,9,0,2,0,TW,HK,4591,2015-05-27
OMG,EP,27,9,1,0,9,27,3,0,63605,39873,60,23,9,0,2,0,CN,,1690,2014-03-14
M3,SS,18,9,0,0,9,18,0,0,67459,53557,47,21,0,0,2,0,CN,CN,989,2015-02-28
Lemondogs,GMB,14,4,0,0,4,14,0,0,68718,58525,39,2,0,0,2,0,,RU,2175,2013-08-24
IG,WEA,12,26,0,0,26,12,0,0,49472,68984,28,68,0,0,1,1,CN,CN,1757,2014-07-12
OMG,RYL,9,17,0,0,17,9,0,0,44851,56011,21,32,0,0,0,2,CN,CN,1777,2014-08-03
Prime Optimus,KTA,3,18,0,0,18,3,0,0,35244,55586,6,32,0,0,0,2,KR,KR,1602,2014-03-15
RYL,LGD,15,14,0,2,14,15,2,3,66907,77317,44,36,2,9,0,2,CN,CN,1691,2014-03-15
GMB,FNC,26,13,0,0,13,26,0,0,69117,54546,38,13,0,0,2,3,RU,EU,1267,2013-04-28
FNA,DD,5,12,0,1,12,5,0,3,41642,54717,9,30,1,8,0,2,EU,EU,2339,2015-01-22
CST,TGF,15,2,0,0,2,15,0,0,56915,40303,47,7,0,0,2,0,US,US,1477,2014-06-08
WE,IG,16,4,0,0,4,16,0,0,55192,36746,45,12,0,0,1,1,CN,CN,1778,2014-08-03
KTA,KDM,8,12,0,0,12,8,0,0,101000,94000,21,26,0,0,3,2,KR,KR,1659,2014-07-16
FNC,ALL,23,8,0,0,8,23,0,0,70073,53120,60,16,0,0,2,0,EU,EU,2176,2013-08-24
MSP,RCK,11,3,1,0,3,11,2,1,50144,35095,27,6,9,0,2,1,EU,EU,2340,2015-01-28
JAG,Anarchy,16,2,1,0,2,16,4,0,56153,46068,49,2,7,3,2,0,KR,,2372,2015-05-27
H2K,CN,17,3,0,0,3,17,0,0,55176,35375,35,10,0,0,2,0,EU,EU,1593,2014-07-11
Positive Energy,WE,4,12,0,2,12,4,1,2,36717,55231,6,27,0,10,0,2,CN,CN,1678,2014-02-28
IG,LGD,18,19,1,1,19,18,1,4,68397,67535,48,41,7,8,2,0,CN,CN,1710,2014-04-05
WE,IG,11,7,0,0,7,11,0,0,56464,48081,26,24,0,0,2,0,CN,CN,990,2015-02-28
NIP-2,TTD,16,5,0,0,5,16,0,0,62050,45029,24,8,0,0,2,0,EU,EU,1528,2014-02-07
JAG,KT,1,13,0,2,13,1,0,5,47989,66868,3,40,1,8,0,2,KR,KR,2378,2015-05-30
SSG,Xenics Storm,19,10,2,0,10,19,3,1,65299,51276,48,22,10,2,2,0,KR,KR,1671,2015-05-16
SSW,IM1,18,11,0,0,11,18,0,0,70841,53845,48,26,0,0,2,0,KR,KR,1609,2014-03-15
SSW,SKS,19,9,0,0,9,19,0,0,0,0,58,22,0,0,1,1,KR,KR,1647,2014-06-20
GMB,NBS,21,12,0,0,12,21,0,0,67978,60095,64,35,0,0,1,2,RU,KR,1360,2013-09-24
EDG,EP,24,11,1,0,11,24,4,1,77060,59724,55,22,9,4,2,0,CN,,1711,2014-04-06
T8,PRO,6,20,0,0,20,6,0,0,36767,52201,9,45,0,0,2,1,US,US,1505,2014-08-02
WEA,Young Glory,26,8,0,0,8,26,0,0,64297,46029,65,14,0,0,2,0,CN,CN,1779,2014-08-08
CJE,BFM,15,8,0,0,8,15,0,0,0,0,42,20,0,0,2,0,KR,KR,1648,2014-06-25
OMG,EDG,16,5,1,0,5,16,4,1,83362,62566,37,4,10,2,2,0,CN,CN,1692,2014-03-15
DNE,LBS,3,14,0,0,14,3,0,0,49595,68792,7,47,0,0,0,2,EU,EU,1572,2014-06-06
SK,ALL,10,21,0,0,21,10,0,0,57508,66257,25,55,0,0,0,2,EU,EU,1268,2013-04-28
M3,Gamtee,33,19,0,0,19,33,0,0,86632,70903,76,46,0,0,1,1,CN,CN,956,2015-02-01
EDG,LGD,18,7,0,0,7,18,0,0,61168,50522,39,16,0,0,2,0,CN,CN,943,2015-01-24
Positive Energy,EP,19,2,0,0,2,19,4,0,56771,37365,45,4,6,0,2,0,CN,,1693,2014-03-16
MS,H2K,15,21,0,0,21,15,0,0,51980,60089,18,46,0,0,0,2,EU,EU,1529,2014-02-08
LGD,IG,18,30,1,1,30,18,3,2,67479,76988,34,78,8,5,0,2,CN,CN,1052,2015-04-12
H2K,SKP,16,11,0,0,11,16,0,0,56016,46204,42,27,0,0,2,0,EU,EU,1573,2014-06-07
OMG,WE,26,21,3,1,21,26,4,3,97052,85407,63,36,10,6,1,1,CN,CN,1712,2014-04-06
VG,KNG,14,3,0,0,3,14,0,0,58346,46048,33,7,0,0,2,0,CN,CN,957,2015-02-01
CA,CLB,26,22,0,0,22,26,0,0,98616,87146,64,58,0,0,2,3,US,US,2285,2014-04-14
SBE,Xenics Storm,4,11,0,2,11,4,2,4,68111,82960,8,30,3,10,2,1,KR,KR,1672,2015-05-16
KNG,SS,24,20,0,0,20,24,0,0,80994,74652,73,60,0,0,1,1,CN,CN,944,2015-01-25
SSW,SSB,15,4,0,0,4,15,0,0,53818,41268,34,8,0,0,1,3,KR,KR,1631,2014-04-30
BFM,SKS,3,11,0,0,11,3,0,0,0,0,7,22,0,0,0,2,KR,KR,1650,2014-07-04
SKT,Prime Optimus,23,13,0,0,13,23,0,0,78364,59348,53,29,0,0,2,0,KR,KR,1603,2014-03-21
EP,Gamtee,17,8,0,0,8,17,0,0,69839,58183,44,18,0,0,1,1,,CN,1013,2015-03-14
SKS,KTA,13,11,0,0,11,13,0,0,63803,58319,25,26,0,0,2,0,KR,KR,1604,2014-03-26
NIP-2,H2K,22,23,0,0,23,22,0,0,109198,109360,58,59,0,0,0,2,EU,EU,1530,2014-02-15
SSW,BFM,23,8,0,0,8,17,0,0,0,0,56,13,0,0,2,0,KR,KR,1651,2014-07-09
WE,Gamtee,13,3,0,0,3,13,0,0,63762,0,36,7,0,0,2,0,CN,CN,1053,2015-04-12
M3,IG,2,14,0,0,14,2,0,0,28070,40466,4,29,0,0,0,2,CN,CN,1038,2015-04-04
EDG,IG,19,6,0,0,6,19,0,0,64143,46186,50,12,0,0,2,0,CN,CN,1014,2015-03-14
RYL,OMG,15,13,0,0,13,15,0,0,52111,45437,40,30,0,0,2,0,CN,CN,1361,2013-09-25
TTD,MS,12,22,0,0,22,12,0,0,77764,80399,30,54,0,0,0,2,EU,EU,1531,2014-02-14
M3,OMG,7,23,0,0,23,7,0,0,37016,51171,18,61,0,0,0,2,CN,CN,1015,2015-03-14
CLR,LMQ,8,27,0,0,27,8,0,0,33328,55149,19,33,0,0,0,2,US,US,1443,2014-02-09
OMG,EDG,10,6,1,0,6,10,3,3,68049,55920,32,13,8,4,2,0,CN,CN,1713,2014-04-11
IM1,Midas FIO,16,7,0,0,7,16,0,0,60366,45859,41,21,0,0,2,0,KR,KR,1610,2014-03-21
TBS,CF,25,9,1,0,9,25,3,0,64776,45414,62,16,11,2,2,0,EU,EU,2334,2015-01-21
KTA,SKT,28,7,0,0,7,28,0,0,75079,52447,62,19,0,0,2,0,KR,KR,1605,2014-03-29
CLB,COG,12,5,0,0,5,12,0,0,49017,33355,30,10,0,0,2,0,US,US,1444,2014-02-10
FNC,C9,20,9,0,0,9,20,0,0,54619,47057,53,25,0,0,2,1,EU,US,1362,2013-09-24
EDG,RYL,12,23,0,0,23,12,0,0,58133,73816,27,54,0,0,0,2,CN,CN,1780,2014-08-08
TBS,SKP,0,16,0,0,16,0,0,3,33609,48279,0,29,1,6,1,2,EU,EU,2342,2015-02-04
SSW,CJE,17,4,0,0,4,17,0,0,69813,52510,37,9,0,0,2,0,KR,KR,1611,2014-03-26
EP,LGD,16,19,0,0,19,16,0,0,69717,73549,37,46,0,0,1,1,,CN,992,2015-03-01
H2K,NF,13,9,1,0,9,14,3,1,76888,61422,33,19,9,2,3,0,EU,EU,1301,2014-12-19
GIA,H2K,6,14,0,0,14,6,1,3,43638,54135,14,44,4,8,0,3,EU,EU,1302,2014-12-20
CLR,COG,14,30,0,0,30,14,0,0,55217,68909,34,54,0,0,2,1,US,US,1446,2014-02-16
Newbee,M3,25,17,1,0,17,25,3,2,74699,65916,79,43,9,4,1,1,CN,CN,2513,2015-07-24
ZEN,TLA,7,18,0,1,18,8,2,3,44427,58865,12,50,3,8,0,2,US,US,2309,2015-05-27
MSE,AHQ,7,13,0,1,13,7,0,4,43011,50803,11,23,3,9,0,2,TW,TW,4801,2015-06-05
Prime Optimus,SKS,9,3,0,0,3,9,0,0,59083,44843,25,4,0,0,2,0,KR,KR,1606,2014-04-04
C9T,CON,22,8,1,0,8,22,5,1,82426,68543,66,25,9,4,2,0,,US,2301,2015-02-05
KNG,VG,19,25,0,2,25,19,2,4,71641,84834,57,79,5,9,0,2,CN,CN,2514,2015-07-24
SBE,Anarchy,11,3,1,0,3,11,4,0,67313,58435,32,4,9,2,1,2,KR,,11053,2015-07-24
G2d,NVO,12,23,0,1,23,12,1,4,56469,71417,23,49,4,11,1,2,,,2343,2015-02-05
SKT,CJE,16,4,1,0,4,16,4,0,57791,43531,36,4,11,2,1,2,KR,KR,11054,2015-07-24
MSE,HKE,6,16,0,0,16,6,0,4,53868,66302,14,32,3,8,1,3,TW,HK,11931,2015-07-24
ROX,Anarchy,23,8,1,0,8,23,2,0,60744,46892,52,19,9,1,2,0,KR,,2401,2015-06-20
EDG,IG,14,19,0,2,19,14,3,2,74500,83500,36,52,5,7,3,1,CN,CN,12303,2015-09-04
KDM,Xenics Storm,13,3,0,0,3,13,0,0,49387,35656,27,7,0,0,2,0,KR,KR,1621,2014-03-19
Xenics Storm,IMiracle,2,18,0,0,18,2,0,0,34074,56107,6,34,0,0,0,2,KR,KR,1622,2014-03-22
MSE,M17,17,10,0,1,10,17,4,2,75629,68790,51,30,9,4,2,0,TW,HK,4599,2015-06-04
RNG,EDG,12,15,0,2,15,12,1,4,66561,80048,27,35,4,10,0,2,CN,CN,2515,2015-07-24
JAG,ROX,7,4,2,1,4,7,3,2,79968,73195,15,9,9,4,2,1,KR,KR,11067,2015-08-07
SSG,KT,6,19,0,2,19,6,2,2,62908,77006,12,59,4,9,0,2,KR,KR,11056,2015-07-25
EDG,IG,16,3,2,0,3,16,4,0,65700,48300,49,2,11,2,3,1,CN,CN,10697,2015-07-11
LGD,WE,19,4,2,0,4,20,3,0,67335,48192,51,11,11,2,2,0,CN,CN,2520,2015-07-25
SKT,AHQ,11,5,1,0,5,11,3,1,60292,48850,26,13,9,3,3,0,KR,TW,12649,2015-10-16
KDM,CJB,11,10,0,0,10,11,0,0,76860,82494,20,27,0,0,1,1,KR,KR,1623,2014-03-28
ALL,NIP,6,19,0,0,19,3,0,0,41671,49246,16,42,0,0,2,1,EU,EU,1263,2013-04-26
CJE,JAG,13,8,1,3,8,13,4,2,92611,91790,47,21,10,11,2,0,KR,KR,11033,2015-07-03
SBE,KDM,12,16,0,2,16,12,3,2,60905,71079,32,45,4,9,0,2,KR,KR,11068,2015-08-07
RFS,G2d,10,21,0,1,21,10,3,1,42844,62273,22,61,1,10,0,2,EU,,2336,2015-01-29
NF,RG,5,18,0,1,18,5,1,3,53855,68123,13,38,4,11,0,3,EU,GB,1303,2014-12-19
SSG,SKT,6,10,0,2,10,6,0,4,53301,60325,9,16,4,9,0,2,KR,KR,11066,2015-08-06
SK,G2,11,15,1,1,15,11,3,2,59170,63967,30,47,6,8,2,3,EU,EU,12495,2015-09-05
HKE,M17,24,11,2,0,11,24,2,2,67243,50916,54,31,11,4,2,0,HK,HK,4823,2015-06-28
FNC,ALL,22,11,0,0,11,22,0,0,63769,50573,66,29,0,0,2,1,EU,EU,1265,2013-04-27
C9,OMG,7,19,0,0,19,7,0,0,56486,70433,8,41,0,0,0,2,US,CN,1315,2014-05-10
OMG,WE,17,3,0,0,3,17,3,0,49263,38104,46,8,6,3,1,1,CN,CN,2516,2015-07-24
AS,TPA,4,11,0,1,11,4,1,3,50082,63140,13,34,1,10,0,2,TW,TW,4827,2015-07-02
H2K,GIA,16,0,1,0,0,17,2,1,54273,42531,34,0,9,3,3,0,EU,EU,12080,2015-08-08
CJE,JAG,5,15,0,2,15,5,2,4,70854,79808,13,34,6,8,2,3,KR,KR,12338,2015-09-04
GMB,SK,14,9,0,0,9,14,0,0,57432,41514,28,15,0,0,2,0,RU,EU,1266,2013-04-27
CJE,KT,12,7,1,1,7,12,4,2,72119,65283,37,22,10,5,1,2,KR,KR,11039,2015-07-10
NVO,RGN,19,6,2,0,6,19,3,1,55965,37213,43,14,9,4,2,0,,EU,2337,2015-01-29
KDM,KT,4,13,0,1,13,4,0,4,50526,64601,11,38,4,10,0,2,KR,KR,11031,2015-07-02
RNG,YG,17,7,0,0,7,17,0,0,63345,47158,39,16,0,0,3,2,CN,CN,12262,2015-08-10
GIA,RG,34,28,1,2,28,34,7,1,98864,89092,80,76,9,9,3,0,EU,GB,1304,2014-12-21
CJE,Midas FIO,23,4,0,0,4,23,0,0,69656,49536,57,13,0,0,2,0,KR,KR,1608,2014-03-12
CJB,Xenics Storm,11,3,0,0,3,11,0,0,56711,39596,25,8,0,0,2,0,KR,KR,1624,2014-04-02
AS,AHQ,13,25,0,1,25,13,0,4,55602,68552,34,43,2,10,0,2,TW,TW,4824,2015-06-28
TE,CWA,14,31,0,1,31,14,1,3,49046,69589,27,67,1,11,0,2,EU,DK,2338,2015-01-22
Newbee,OMG,12,2,2,0,2,12,1,1,53267,38370,21,5,7,2,2,0,CN,CN,2537,2015-08-07
SKT,JAG,13,9,1,0,9,13,2,2,60001,48538,31,24,10,3,2,0,KR,KR,11040,2015-07-10
OMG,SS,19,6,0,0,6,19,3,1,49200,38200,43,14,9,2,3,1,CN,CN,10698,2015-07-11
UP,RNG,26,20,2,0,20,26,3,2,73941,64274,67,51,7,7,1,1,CN,CN,2501,2015-07-17
KNG,2144D,5,10,0,0,10,5,0,0,49616,59397,14,27,0,0,1,3,CN,CN,12263,2015-08-10
XDG,FFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,US,US,1475,2014-06-01
CST,CA,12,4,0,0,4,12,0,0,55419,36145,32,11,0,0,2,1,US,US,1480,2014-06-16
IG,WE,14,2,0,0,3,14,3,0,59100,42900,35,5,8,1,1,2,CN,CN,12681,2015-11-27
CJE,IM1,20,3,0,0,3,20,0,0,54282,33689,50,5,0,0,2,0,KR,KR,1612,2014-03-29
KDM,Anarchy,22,3,1,0,3,22,4,0,69323,48173,37,5,7,0,2,1,KR,,11041,2015-07-11
ZEN,F5,11,2,1,1,2,11,5,0,76887,62389,28,3,11,3,1,2,US,US,1269,2014-11-16
SBE,ROX,30,20,2,1,22,30,5,0,79300,72500,105,57,11,6,2,0,KR,KR,12767,2015-11-07
PRO,CST,13,27,0,0,29,13,0,0,104433,108335,36,81,0,0,0,2,US,US,1481,2014-06-22
SKT,OMG,14,18,0,0,19,14,0,0,88273,77191,29,38,0,0,3,0,KR,CN,1317,2014-05-11
KT,CTU,19,20,1,1,20,19,1,3,67500,64500,54,52,8,4,2,1,KR,KR,12755,2015-11-09
ROX,IMiracle,15,7,1,0,7,15,2,2,70535,60777,45,20,11,4,2,0,KR,KR,11042,2015-07-11
ASC,GIA,24,22,2,0,22,24,1,4,72245,74520,72,62,6,8,0,2,EU,EU,1287,2014-11-23
UP,WE.F,26,16,0,0,16,26,0,0,68450,53986,76,38,0,0,3,2,CN,CN,12264,2015-08-10
CJE,KDM,35,24,2,0,24,35,4,1,96851,84212,95,76,11,7,2,1,KR,KR,11044,2015-07-15
M3,ST,12,6,0,0,6,12,2,0,48400,38300,30,11,5,1,3,0,CN,CN,10670,2015-05-25
VG,IG,18,6,1,0,6,18,4,1,71256,55958,44,16,8,3,1,1,CN,CN,2502,2015-07-17
GMB,MS,18,7,1,0,7,18,3,1,60882,48959,53,21,9,3,3,0,RU,EU,12496,2015-09-06
NME,NT,21,5,0,0,5,21,1,1,45376,29229,45,8,9,0,2,0,US,US,1270,2014-11-17
VG,LGD,23,15,1,0,15,23,2,1,67500,55400,53,24,9,3,2,1,CN,CN,12682,2015-11-27
CJE,JAG,12,3,2,0,3,12,2,1,68800,53200,28,6,11,2,2,0,KR,KR,12756,2015-11-09
FNC,EDG,13,4,1,0,4,13,3,0,55757,43170,25,9,11,3,3,0,EU,CN,12647,2015-10-17
GV,TSM,19,2,1,1,2,19,4,1,80887,70489,52,8,11,5,1,3,US,US,12148,2015-08-10
NME,CST,4,6,0,2,6,4,1,5,62234,75108,8,15,4,11,0,3,US,US,12498,2015-09-07
Gamania Bears,SKT,8,20,0,0,20,8,0,0,42060,55675,15,49,0,0,0,2,TW,KR,1359,2013-09-25
Anarchy,BBQ,19,9,2,0,9,19,2,2,77100,64300,52,26,11,4,1,2,,KR,12757,2015-11-10
SS,Newbee,17,28,0,1,28,17,3,2,58400,69700,23,77,3,10,0,3,CN,CN,12302,2015-09-05
SKT,JAG,7,6,1,0,6,7,4,0,56259,47425,12,14,8,1,2,0,KR,KR,2409,2015-06-27
COW,OO,14,0,1,0,0,14,3,1,56705,35054,28,0,10,0,2,1,US,US,1272,2014-11-16
M17,LGS,18,15,1,0,15,18,1,3,57420,52955,53,39,10,5,1,1,HK,TW,4826,2015-07-03
WE,LD,14,17,0,0,17,15,0,5,61800,65000,42,46,6,10,3,1,CN,CN,10671,2015-05-25
SS,M3,14,2,1,0,3,14,2,1,53300,36800,41,3,11,2,2,0,CN,CN,12684,2015-11-28
KT,SBE,6,10,0,2,10,6,0,5,70023,82493,12,31,3,11,2,1,KR,KR,11043,2015-07-15
HKE,FW,19,7,2,0,7,19,4,1,73748,58768,57,18,10,1,1,1,HK,TW,4828,2015-07-02
IG,Newbee,33,16,2,0,16,33,5,0,87300,67700,85,45,11,3,3,0,CN,CN,12304,2015-09-05
KT,Anarchy,10,15,0,2,15,10,4,1,82267,90917,19,42,5,9,2,1,KR,,11070,2015-08-08
IG,ADG,12,5,0,0,5,12,2,0,53300,37700,24,6,10,2,3,0,CN,CN,10672,2015-06-01
CST,CG,27,4,1,0,4,27,1,2,53635,32900,48,12,10,1,2,0,US,US,1273,2014-11-16
