teamname1,teamname2,kill1,kill2,baronkill1,baronkill2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,team_1_win,team_2_win,name_1_country,name_2_country,scheduleid,game_date
IG,OMG,32,12,2,0,12,32,4,1,72800,53800,81,26,11,3,3,1,CN,CN,12890,2015-11-21
SS,KNG,14,11,0,0,11,14,2,3,77853,67054,33,28,9,7,1,1,CN,CN,2493,2015-07-04
LGD,OMG,20,10,1,0,10,20,2,1,62413,49119,48,31,10,3,2,0,CN,CN,2543,2015-08-08
OMG,LGD,5,17,0,0,17,5,0,0,48266,59866,11,43,0,0,0,3,CN,CN,1059,2015-04-17
FW,OG,13,16,1,1,16,13,2,2,62577,70014,35,32,5,9,1,3,TW,EU,12648,2015-10-15
EDG,IG,10,4,0,0,4,10,0,0,65021,58320,18,8,0,0,3,0,CN,CN,1060,2015-04-18
vVv,CA,22,24,0,0,24,22,0,0,78227,90488,43,44,0,0,0,2,US,US,1459,2014-03-30
SS,LGD,9,21,0,0,21,9,0,0,67708,84753,31,58,0,0,0,3,CN,CN,1061,2015-04-19
HKE,LGS,23,7,1,0,7,23,3,0,59224,43417,66,15,11,1,2,0,HK,TW,4829,2015-07-01
RYL,FNC,17,7,0,0,7,17,0,0,50471,34784,41,9,0,0,3,1,CN,EU,1364,2013-09-29
SKT,SBE,19,5,1,1,5,19,3,0,65070,50762,31,10,10,4,2,0,KR,KR,11034,2015-07-04
TSM,LGD,22,20,2,0,20,22,3,2,88800,84700,52,50,11,4,2,0,US,CN,12896,2015-11-22
IG,VG,11,14,0,2,14,11,2,2,62353,64275,26,43,8,9,3,2,CN,CN,12286,2015-08-15
EDG,LGD,6,11,0,0,11,6,0,0,51859,60562,19,31,0,0,3,2,CN,CN,1062,2015-04-26
GIA,RG,22,13,1,0,13,22,1,1,57920,46674,34,25,8,3,3,0,EU,GB,1300,2014-12-18
KT,SSB,18,3,0,0,3,18,0,0,53316,38229,42,6,0,0,1,1,KR,KR,1616,2014-03-22
M3,RNG,18,7,1,0,7,19,2,2,59439,46734,46,14,9,3,2,0,CN,CN,2487,2015-06-28
ROX,CJE,11,12,1,1,12,11,3,3,82122,79781,32,37,10,6,3,0,KR,KR,12296,2015-08-19
SKT,RYL,18,9,0,0,9,18,0,0,53875,37751,40,25,0,0,3,0,KR,CN,1365,2013-10-05
Anarchy,CJE,6,14,0,1,14,6,0,4,59913,72792,11,36,3,10,0,2,,KR,11059,2015-07-30
SS,LGD,22,10,1,1,10,22,3,1,65337,55169,54,24,8,3,1,3,CN,CN,12284,2015-08-15
KT,NBS,12,16,0,0,16,12,0,0,88718,96896,31,37,0,0,1,1,KR,KR,1617,2014-03-28
Newbee,EDG,11,20,0,2,20,11,2,4,75033,86554,35,56,6,8,0,2,CN,CN,2519,2015-07-25
CJE,BBQ,8,17,2,0,17,8,2,2,65900,69000,15,48,5,8,0,3,KR,KR,12761,2015-11-14
Newbee,RNG,10,7,1,0,7,10,2,2,68901,61245,32,19,8,3,1,1,CN,CN,2529,2015-08-01
SBE,BBQ,10,2,2,0,2,10,5,2,74023,65201,31,5,10,4,3,1,KR,KR,12342,2015-09-12
IG,SS,16,8,0,0,8,16,0,0,73059,64345,47,22,0,0,3,1,CN,CN,1063,2015-04-25
KNG,M3,16,21,0,0,21,16,0,4,58141,63514,42,53,3,8,1,1,CN,CN,2489,2015-07-03
HKE,AHQ,22,6,1,0,6,22,5,0,66347,48475,50,11,9,2,1,1,HK,TW,4820,2015-06-26
HKE,FW,17,7,1,0,7,17,4,0,77243,56621,49,7,9,3,3,1,TW,TW,11932,2015-07-25
LGD,RNG,24,9,0,0,9,24,4,0,64347,40570,60,22,7,0,2,0,CN,CN,2490,2015-07-03
IG,2144D,19,3,0,1,3,19,3,0,58300,39100,54,7,11,0,1,2,CN,CN,12929,2015-12-18
FW,MSE,10,3,2,0,3,10,3,2,73495,59714,31,8,11,4,2,0,TW,TW,4821,2015-06-27
HKE,TPA,20,23,3,0,24,20,4,3,99181,93116,48,69,10,6,2,0,HK,TW,4832,2015-07-04
SSG,KDM,10,5,1,0,5,10,0,4,67681,57866,28,11,7,2,2,0,KR,KR,13867,2016-01-14
OG,H2K,18,6,2,0,6,18,4,1,62888,49833,54,10,9,3,3,1,EU,EU,12085,2015-08-15
DIG,FSN,10,5,1,0,5,11,4,0,53572,44973,19,11,7,3,3,2,US,US,11675,2015-04-27
ROX,SSG,15,7,0,2,7,15,5,2,89714,88229,38,20,8,5,2,0,KR,KR,11035,2015-07-04
CJE,SSG,20,8,2,0,8,20,3,1,71185,56573,54,27,11,3,2,0,KR,KR,2406,2015-06-26
SS,RYL,26,11,1,0,11,26,3,0,47800,37000,45,21,5,1,3,0,CN,CN,10692,2015-06-29
FW,AHQ,1,6,0,1,6,1,1,3,60185,70513,2,12,2,11,0,2,TW,TW,13930,2016-01-14
JAF,KT,1,12,0,0,12,1,0,0,42206,60285,3,26,0,0,0,2,KR,KR,1618,2014-04-02
EDG,IG,18,6,1,0,7,18,2,1,54100,42200,46,7,5,2,3,1,CN,CN,12892,2015-11-22
LGD,Newbee,26,15,1,0,15,26,4,2,83300,75800,80,40,6,5,3,1,CN,CN,10690,2015-06-29
KT,CJE,19,12,0,0,12,19,2,3,72917,61431,55,28,10,3,2,1,KR,KR,13902,2016-02-19
WFX,TDK,5,12,0,1,12,5,2,2,47312,57094,10,35,3,9,1,3,US,US,11676,2015-04-27
TL,P1,8,5,1,0,5,8,1,3,64485,63199,29,15,8,4,3,1,US,US,12155,2015-08-23
M3,WE,1,11,0,0,11,1,0,2,33502,43762,4,19,2,6,1,1,CN,CN,2496,2015-07-04
CLG,P1,17,14,1,1,14,17,2,3,74829,67356,49,40,10,4,3,0,US,US,12153,2015-08-16
SAT,OMG,8,25,0,0,25,8,2,1,33400,47000,17,44,0,5,0,3,CN,CN,10689,2015-06-29
SS,WE,18,21,0,0,21,19,1,4,77572,80416,54,50,6,9,1,1,CN,CN,2491,2015-07-03
SKT,ROX,20,5,1,0,5,20,4,1,77094,60892,65,13,10,3,3,1,KR,KR,12652,2015-10-31
UOL,CLG,12,20,0,1,20,12,3,1,50100,61200,25,42,2,9,0,2,EU,US,12897,2015-11-22
UP,SS,8,20,0,1,20,8,0,3,39691,51293,21,53,3,8,0,2,CN,CN,2530,2015-08-01
TPA,LGS,9,5,1,0,5,9,3,1,52353,46026,26,12,8,5,2,0,TW,TW,4822,2015-06-27
KNG,UP,19,8,1,0,8,19,3,0,52400,42400,51,15,7,3,1,3,CN,CN,10691,2015-06-29
OG,CLG,25,15,2,0,15,25,1,3,74700,59600,58,36,10,3,3,0,EU,US,12902,2015-11-23
OG,TSM,24,7,2,0,7,24,4,0,69600,53000,56,13,11,3,2,0,EU,US,12900,2015-11-23
WE,KNG,23,12,2,0,13,23,3,2,72857,60562,62,31,10,3,1,1,CN,CN,2479,2015-06-26
M3,VG,3,15,0,1,15,3,2,1,45483,59360,6,38,1,10,1,2,CN,CN,13515,2016-02-19
IMiracle,SSG,5,10,0,1,10,5,1,2,38411,53399,8,23,0,10,0,2,KR,KR,11030,2015-07-01
Anarchy,SKT,3,22,0,0,22,3,0,2,28458,42862,4,48,0,4,0,2,,KR,11037,2015-07-08
AS,M17,5,19,0,3,19,5,1,5,56663,70950,8,46,4,10,0,2,TW,HK,4819,2015-06-26
CJE,ROX,16,20,1,1,20,16,0,6,75552,77647,43,60,6,9,0,2,KR,KR,11029,2015-07-01
EDG,LGD,14,15,1,1,15,14,3,2,62953,64097,32,41,5,7,0,3,CN,CN,12287,2015-08-16
CLB,C9T,8,23,0,1,23,9,1,5,52657,65788,23,60,3,10,1,2,US,,2320,2015-06-11
SSB,NBS,16,5,0,0,5,16,0,0,72923,55283,42,6,0,0,2,0,KR,KR,1619,2014-04-05
M17,TPA,1,19,0,1,19,1,0,4,39958,57170,2,53,2,10,1,1,HK,TW,4835,2015-07-08
IG,RNG,1,13,0,0,13,1,0,1,35948,47871,2,28,0,4,2,1,CN,CN,13507,2016-01-30
FW,HKE,19,9,0,1,9,19,2,3,75482,69229,53,26,10,4,2,0,TW,HK,13974,2016-03-19
VG,RNG,9,21,0,2,21,9,1,2,54810,68043,27,48,3,9,1,2,CN,CN,13487,2016-01-16
JAG,ROX,8,13,0,2,13,8,3,2,58162,73305,27,34,3,11,0,2,KR,KR,13903,2016-02-19
EDG,OMG,22,13,2,0,13,22,4,2,94669,80938,65,40,10,4,2,0,CN,CN,13508,2016-01-30
AHQ,MSE,21,10,1,0,10,21,3,0,71756,54338,48,17,11,0,2,0,TW,TW,13951,2016-02-04
AHQ,FW,18,9,1,0,9,18,4,0,64867,48745,41,20,10,1,2,0,TW,TW,4836,2015-07-08
OMG,M3,25,7,1,0,7,25,2,1,59634,44167,56,10,9,2,2,0,CN,CN,2506,2015-07-18
AHQ,M17,4,17,0,1,17,4,1,2,39378,51041,7,46,3,9,1,1,TW,HK,4816,2015-06-24
OG,SKT,12,18,1,2,18,12,1,4,69765,78359,27,35,7,11,0,3,EU,KR,12650,2015-10-24
YSO,LMQ,6,19,0,0,19,6,0,0,41168,60021,13,36,0,0,0,2,US,US,1440,2014-01-27
HKE,AS,14,2,1,0,2,14,3,0,66944,50226,43,5,8,2,2,0,HK,TW,4815,2015-06-24
CJE,SKT,1,22,0,1,22,1,0,2,42602,61784,3,54,1,11,0,2,KR,KR,13864,2016-01-13
SS,LGD,21,23,0,2,23,21,2,4,80628,82439,62,71,7,7,1,1,CN,CN,2507,2015-07-18
KT,SKT,6,15,0,1,15,6,0,3,44798,58609,10,39,3,10,0,3,KR,KR,12298,2015-08-29
JAG,SBE,15,2,1,0,2,15,4,1,70753,61204,40,6,8,4,1,2,KR,KR,11063,2015-08-01
Newbee,IG,21,8,1,0,8,21,3,0,58745,41455,55,22,6,0,3,2,CN,CN,12288,2015-08-16
KNG,WE,17,17,1,0,17,17,1,2,59145,56958,45,29,8,4,1,1,CN,CN,2532,2015-08-01
EDG,WE,13,1,1,0,1,13,2,0,44600,28200,29,1,11,0,3,0,CN,CN,10693,2015-07-10
ROX,KT,11,14,1,2,14,11,2,4,69772,78624,26,17,6,9,2,3,KR,KR,12297,2015-08-21
CLB,CA,12,3,0,0,3,12,0,0,55394,37688,25,6,0,0,2,0,US,US,1441,2014-02-02
WEA,Young Glory,12,21,0,0,21,12,0,0,43783,57125,22,47,0,0,1,1,CN,CN,1751,2014-07-05
OMG,LGD,25,9,1,0,9,25,3,0,60700,48000,73,28,10,3,3,0,CN,CN,10695,2015-07-10
COG,vVv,22,7,0,0,7,22,0,0,69134,49948,62,24,0,0,2,1,US,US,1442,2014-02-03
UP,SS,8,25,0,1,25,8,0,2,35700,50100,17,56,1,9,1,3,CN,CN,10696,2015-07-10
TPA,AHQ,11,8,0,2,8,11,1,5,77109,81561,30,21,4,8,0,2,TW,TW,13998,2016-03-20
SBE,CJE,4,17,0,1,17,4,1,3,51448,62507,14,50,4,9,1,2,KR,KR,13875,2016-01-21
EDG,Newbee,12,7,1,0,7,12,0,3,58163,51166,34,16,8,4,1,1,CN,CN,2465,2015-06-19
WE,EDG,4,16,0,1,16,4,1,3,60561,72288,7,52,2,10,1,2,CN,CN,13522,2016-02-25
AHQ,XG,15,16,0,1,16,15,1,4,81750,77338,44,39,8,5,2,0,TW,TW,13961,2016-02-26
OMG,WE,16,4,0,0,4,17,0,0,39600,25000,41,8,6,0,2,0,CN,CN,14403,2013-11-20
AS,LGS,5,19,0,1,19,5,1,3,47491,62808,7,26,1,11,0,2,TW,TW,4837,2015-07-09
JAG,KT,13,4,1,0,4,13,3,0,63897,55346,42,14,10,3,2,0,KR,KR,14647,2016-03-09
UP,IG,26,11,1,0,11,26,3,0,66746,47766,73,29,10,1,1,1,CN,CN,2510,2015-07-19
M3,IG,23,16,4,0,16,23,4,5,111195,95921,55,42,11,6,2,0,CN,CN,2466,2015-06-19
CJE,SBE,18,4,1,0,4,18,4,1,67652,55722,54,9,9,3,2,1,KR,KR,14645,2016-03-04
VG,LGD,10,3,1,0,3,10,2,2,50343,43171,25,4,7,3,2,0,CN,CN,2467,2015-06-19
Newbee,GT,25,14,1,0,14,25,4,0,75105,58903,53,35,11,1,2,0,CN,CN,13494,2016-01-21
ROC,OG,12,16,0,1,16,12,1,4,58690,69521,33,45,4,9,2,3,EU,EU,12309,2015-08-30
VG,M3,17,1,0,0,1,17,3,0,41450,20134,37,3,7,1,1,1,CN,CN,2469,2015-06-20
M3,LGD,11,21,0,2,21,11,4,1,60582,70920,32,62,4,8,0,2,CN,CN,2511,2015-07-19
JAG,SSG,16,18,1,1,18,16,2,5,98438,110894,46,46,6,11,1,2,KR,KR,13892,2016-02-05
OMG,LGD,8,19,0,1,19,8,2,3,44921,59475,24,48,3,7,0,2,CN,CN,2470,2015-06-20
LGD,Newbee,6,19,0,1,19,6,1,3,55022,66273,18,68,2,8,3,2,CN,CN,12289,2015-08-23
CGE,MSE,8,14,0,1,14,8,0,1,37997,50741,12,33,0,9,0,2,TW,TW,13956,2016-02-19
JAG,SBE,12,5,1,1,5,12,3,2,95294,89436,31,13,9,7,2,0,KR,KR,13887,2016-01-30
SS,M3,15,3,0,0,3,15,2,0,44248,31676,38,6,6,0,2,0,CN,CN,2533,2015-08-02
C9,TL,12,2,1,0,2,12,1,1,56332,46476,41,3,10,4,3,1,US,US,12307,2015-09-01
KNG,UP,16,2,1,0,2,16,3,1,58891,42265,46,3,9,1,2,0,CN,CN,2471,2015-06-20
EDG,WE,16,22,1,0,22,16,2,2,73111,70106,39,64,6,9,0,2,CN,CN,2472,2015-06-20
CGE,HKE,9,20,0,1,20,9,1,3,51043,68705,16,47,1,11,0,2,TW,HK,13931,2016-03-17
AHQ,TPA,7,5,0,0,5,7,3,0,54282,52987,15,13,6,5,2,0,TW,TW,13957,2016-02-19
SKT,SSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,KR,KR,12019,2014-08-27
SS,SAT,18,16,0,1,16,18,3,2,89928,82356,42,38,9,6,2,0,CN,CN,13523,2016-02-25
OMG,SAT,6,16,0,1,16,6,0,4,56589,67863,12,44,2,9,2,1,CN,CN,13488,2016-01-16
ROC,GIA,18,2,2,0,2,18,5,0,70540,54557,47,3,11,2,3,0,EU,EU,12308,2015-08-29
Newbee,WE,19,9,1,0,9,19,4,0,62315,47914,56,22,9,2,1,1,CN,CN,2534,2015-08-02
FW,MSE,15,1,1,0,1,15,4,1,61985,47723,45,4,11,2,3,0,TW,TW,12312,2015-08-15
AFs,KT,5,16,0,1,16,5,1,5,63878,73885,11,36,4,9,0,2,KR,KR,13865,2016-01-13
